date,COUNT(id)
1/1/2014,359
1/1/2015,181
1/10/2014,983
1/10/2015,362
1/11/2014,247
1/11/2015,327
1/12/2014,351
1/12/2015,1344
1/13/2014,1015
1/13/2015,1368
1/14/2014,1027
1/14/2015,1296
1/15/2014,1100
1/15/2015,1229
1/16/2014,1097
1/16/2015,1082
1/17/2014,1014
1/17/2015,319
1/18/2014,443
1/18/2015,275
1/19/2014,397
1/19/2015,619
1/2/2014,767
1/2/2015,428
1/20/2014,615
1/20/2015,1213
1/21/2014,1011
1/21/2015,1314
1/22/2014,1071
1/22/2015,1224
1/23/2014,1094
1/23/2015,1164
1/24/2014,1021
1/24/2015,420
1/25/2014,444
1/25/2015,259
1/26/2014,390
1/26/2015,1249
1/27/2014,959
1/27/2015,1260
1/28/2014,1026
1/28/2015,1345
1/29/2014,952
1/29/2015,1295
1/3/2014,779
1/3/2015,283
1/30/2014,946
1/30/2015,1193
1/31/2014,839
1/31/2015,375
1/4/2014,356
1/4/2015,206
1/5/2014,296
1/5/2015,1186
1/6/2014,915
1/6/2015,1255
1/7/2014,967
1/7/2015,1301
1/8/2014,967
1/8/2015,1295
1/9/2014,980
1/9/2015,1173
10/1/2013,1072
10/1/2014,1393
10/10/2013,1086
10/10/2014,1299
10/11/2013,1014
10/11/2014,552
10/12/2013,665
10/12/2014,447
10/13/2013,572
10/13/2014,1261
10/14/2013,1050
10/14/2014,1496
10/15/2013,1173
10/15/2014,1384
10/16/2013,1165
10/16/2014,1462
10/17/2013,1227
10/17/2014,1257
10/18/2013,1103
10/18/2014,474
10/19/2013,635
10/19/2014,418
10/2/2013,1061
10/2/2014,1452
10/20/2013,452
10/20/2014,1266
10/21/2013,1015
10/21/2014,1410
10/22/2013,1026
10/22/2014,1319
10/23/2013,1029
10/23/2014,1389
10/24/2013,1053
10/24/2014,1427
10/25/2013,1048
10/25/2014,406
10/26/2013,501
10/26/2014,470
10/27/2013,292
10/27/2014,1393
10/28/2013,967
10/28/2014,1419
10/29/2013,1008
10/29/2014,1496
10/3/2013,1158
10/3/2014,1194
10/30/2013,1122
10/30/2014,1411
10/31/2013,1150
10/31/2014,848
10/4/2013,1088
10/4/2014,418
10/5/2013,716
10/5/2014,324
10/6/2013,606
10/6/2014,1169
10/7/2013,964
10/7/2014,1293
10/8/2013,1018
10/8/2014,1367
10/9/2013,1069
10/9/2014,1306
11/1/2013,1120
11/1/2014,395
11/10/2013,482
11/10/2014,1304
11/11/2013,986
11/11/2014,1213
11/12/2013,1154
11/12/2014,1363
11/13/2013,1002
11/13/2014,1133
11/14/2013,1115
11/14/2014,1210
11/15/2013,1131
11/15/2014,384
11/16/2013,474
11/16/2014,267
11/17/2013,406
11/17/2014,1304
11/18/2013,1008
11/18/2014,1322
11/19/2013,750
11/19/2014,906
11/2/2013,544
11/2/2014,372
11/20/2013,625
11/20/2014,886
11/21/2013,1102
11/21/2014,1210
11/22/2013,995
11/22/2014,343
11/23/2013,525
11/23/2014,235
11/24/2013,348
11/24/2014,1285
11/25/2013,1019
11/25/2014,1183
11/26/2013,1004
11/26/2014,758
11/27/2013,720
11/27/2014,133
11/28/2013,272
11/28/2014,277
11/29/2013,384
11/29/2014,281
11/3/2013,372
11/3/2014,1347
11/30/2013,307
11/30/2014,121
11/4/2013,1128
11/4/2014,1302
11/5/2013,1158
11/5/2014,1382
11/6/2013,1085
11/6/2014,1410
11/7/2013,1197
11/7/2014,1301
11/8/2013,1172
11/8/2014,512
11/9/2013,634
11/9/2014,377
12/1/2013,329
12/1/2014,1181
12/10/2013,878
12/10/2014,1279
12/11/2013,903
12/11/2014,107
12/12/2013,966
12/12/2014,622
12/13/2013,962
12/13/2014,368
12/14/2013,392
12/14/2014,264
12/15/2013,319
12/15/2014,644
12/16/2013,946
12/16/2014,770
12/17/2013,975
12/17/2014,809
12/18/2013,928
12/18/2014,1126
12/19/2013,935
12/19/2014,532
12/2/2013,878
12/2/2014,491
12/20/2013,867
12/20/2014,305
12/21/2013,354
12/21/2014,246
12/22/2013,307
12/22/2014,1021
12/23/2013,651
12/23/2014,806
12/24/2013,336
12/24/2014,308
12/25/2013,360
12/25/2014,150
12/26/2013,422
12/26/2014,329
12/27/2013,425
12/27/2014,231
12/28/2013,403
12/28/2014,297
12/29/2013,318
12/29/2014,627
12/3/2013,917
12/3/2014,804
12/30/2013,605
12/30/2014,486
12/31/2013,505
12/31/2014,386
12/4/2013,992
12/4/2014,1125
12/5/2013,936
12/5/2014,980
12/6/2013,727
12/6/2014,419
12/7/2013,277
12/7/2014,296
12/8/2013,274
12/8/2014,1363
12/9/2013,807
12/9/2014,1305
2/1/2014,383
2/1/2015,251
2/10/2014,803
2/10/2015,1368
2/11/2014,939
2/11/2015,1343
2/12/2014,1015
2/12/2015,1305
2/13/2014,937
2/13/2015,1295
2/14/2014,958
2/14/2015,563
2/15/2014,415
2/15/2015,375
2/16/2014,415
2/16/2015,543
2/17/2014,464
2/17/2015,1279
2/18/2014,1013
2/18/2015,1238
2/19/2014,1012
2/19/2015,1172
2/2/2014,128
2/2/2015,1312
2/20/2014,974
2/20/2015,1101
2/21/2014,937
2/21/2015,333
2/22/2014,466
2/22/2015,289
2/23/2014,317
2/23/2015,1280
2/24/2014,1011
2/24/2015,1169
2/25/2014,1090
2/25/2015,1209
2/26/2014,392
2/26/2015,1242
2/27/2014,872
2/27/2015,1092
2/28/2014,538
2/28/2015,330
2/3/2014,962
2/3/2015,1363
2/4/2014,994
2/4/2015,1364
2/5/2014,862
2/5/2015,1272
2/6/2014,486
2/6/2015,608
2/7/2014,466
2/7/2015,318
2/8/2014,94
2/8/2015,141
2/9/2014,81
2/9/2015,1246
3/1/2014,318
3/1/2015,338
3/10/2014,980
3/10/2015,1184
3/11/2014,1112
3/11/2015,1214
3/12/2014,1044
3/12/2015,1328
3/13/2014,1133
3/13/2015,1208
3/14/2014,1022
3/14/2015,479
3/15/2014,504
3/15/2015,377
3/16/2014,445
3/16/2015,1295
3/17/2014,1002
3/17/2015,1365
3/18/2014,1139
3/18/2015,1319
3/19/2014,1161
3/19/2015,1363
3/2/2014,208
3/2/2015,1209
3/20/2014,1127
3/20/2015,1206
3/21/2014,1010
3/21/2015,375
3/22/2014,422
3/22/2015,280
3/23/2014,373
3/23/2015,1247
3/24/2014,1012
3/24/2015,1340
3/25/2014,927
3/25/2015,1409
3/26/2014,716
3/26/2015,1348
3/27/2014,1071
3/27/2015,1264
3/28/2014,974
3/28/2015,512
3/29/2014,117
3/29/2015,362
3/3/2014,746
3/3/2015,1299
3/30/2014,391
3/30/2015,1403
3/31/2014,697
3/31/2015,1354
3/4/2014,944
3/4/2015,1243
3/5/2014,979
3/5/2015,1225
3/6/2014,1015
3/6/2015,1245
3/7/2014,988
3/7/2015,396
3/8/2014,468
3/8/2015,394
3/9/2014,548
3/9/2015,1045
4/1/2014,520
4/1/2015,1379
4/10/2014,1033
4/10/2015,1246
4/11/2014,1013
4/11/2015,407
4/12/2014,463
4/12/2015,303
4/13/2014,412
4/13/2015,1337
4/14/2014,1046
4/14/2015,1331
4/15/2014,1163
4/15/2015,1359
4/16/2014,1223
4/16/2015,1359
4/17/2014,1145
4/17/2015,1255
4/18/2014,988
4/18/2015,413
4/19/2014,421
4/19/2015,325
4/2/2014,987
4/2/2015,1395
4/20/2014,376
4/20/2015,1299
4/21/2014,1049
4/21/2015,1371
4/22/2014,1066
4/22/2015,1376
4/23/2014,1089
4/23/2015,1368
4/24/2014,1018
4/24/2015,1171
4/25/2014,599
4/25/2015,405
4/26/2014,383
4/26/2015,291
4/27/2014,354
4/27/2015,1233
4/28/2014,1177
4/28/2015,1375
4/29/2014,1227
4/29/2015,1314
4/3/2014,997
4/3/2015,1155
4/30/2014,1222
4/30/2015,1295
4/4/2014,844
4/4/2015,342
4/5/2014,518
4/5/2015,216
4/6/2014,378
4/6/2015,1281
4/7/2014,1123
4/7/2015,1097
4/8/2014,1268
4/8/2015,1344
4/9/2014,1119
4/9/2015,1321
5/1/2014,1185
5/1/2015,1282
5/10/2014,437
5/10/2015,267
5/11/2014,336
5/11/2015,1297
5/12/2014,1180
5/12/2015,1305
5/13/2014,1235
5/13/2015,1336
5/14/2014,1182
5/14/2015,1343
5/15/2014,1207
5/15/2015,1168
5/16/2014,1142
5/16/2015,394
5/17/2014,485
5/17/2015,328
5/18/2014,418
5/18/2015,1279
5/19/2014,1111
5/19/2015,1381
5/2/2014,1037
5/2/2015,351
5/20/2014,1123
5/20/2015,1246
5/21/2014,1103
5/21/2015,1355
5/22/2014,1216
5/22/2015,1129
5/23/2014,1092
5/23/2015,392
5/24/2014,432
5/24/2015,333
5/25/2014,557
5/25/2015,324
5/26/2014,450
5/26/2015,1219
5/27/2014,1204
5/27/2015,1260
5/28/2014,1278
5/28/2015,1288
5/29/2014,1209
5/29/2015,1203
5/3/2014,387
5/3/2015,346
5/30/2014,1074
5/30/2015,435
5/31/2014,449
5/31/2015,266
5/4/2014,417
5/4/2015,1296
5/5/2014,1156
5/5/2015,1369
5/6/2014,1129
5/6/2015,1374
5/7/2014,1173
5/7/2015,1360
5/8/2014,1052
5/8/2015,1246
5/9/2014,1046
5/9/2015,368
6/1/2014,468
6/1/2015,1224
6/10/2014,1256
6/10/2015,956
6/11/2014,1280
6/11/2015,1437
6/12/2014,1175
6/12/2015,1276
6/13/2014,1163
6/13/2015,430
6/14/2014,440
6/14/2015,269
6/15/2014,390
6/15/2015,1327
6/16/2014,1269
6/16/2015,1409
6/17/2014,1216
6/17/2015,1353
6/18/2014,1259
6/18/2015,1352
6/19/2014,1237
6/19/2015,1243
6/2/2014,1291
6/2/2015,1390
6/20/2014,1151
6/20/2015,411
6/21/2014,361
6/21/2015,298
6/22/2014,460
6/22/2015,1295
6/23/2014,1188
6/23/2015,1392
6/24/2014,1334
6/24/2015,1335
6/25/2014,1225
6/25/2015,1391
6/26/2014,1294
6/26/2015,1319
6/27/2014,1137
6/27/2015,466
6/28/2014,495
6/28/2015,407
6/29/2014,414
6/29/2015,1237
6/3/2014,1324
6/3/2015,1348
6/30/2014,1248
6/30/2015,1281
6/4/2014,1298
6/4/2015,1414
6/5/2014,1219
6/5/2015,1270
6/6/2014,1161
6/6/2015,339
6/7/2014,437
6/7/2015,385
6/8/2014,498
6/8/2015,1270
6/9/2014,1294
6/9/2015,1383
7/1/2014,1211
7/1/2015,1205
7/10/2014,1224
7/10/2015,1244
7/11/2014,1076
7/11/2015,495
7/12/2014,445
7/12/2015,379
7/13/2014,408
7/13/2015,1345
7/14/2014,1220
7/14/2015,1358
7/15/2014,1300
7/15/2015,1384
7/16/2014,1311
7/16/2015,1382
7/17/2014,1299
7/17/2015,1249
7/18/2014,1160
7/18/2015,368
7/19/2014,424
7/19/2015,402
7/2/2014,1245
7/2/2015,1019
7/20/2014,402
7/20/2015,1386
7/21/2014,1224
7/21/2015,1349
7/22/2014,1326
7/22/2015,1307
7/23/2014,1366
7/23/2015,1320
7/24/2014,1299
7/24/2015,1254
7/25/2014,1204
7/25/2015,364
7/26/2014,495
7/26/2015,432
7/27/2014,446
7/27/2015,1363
7/28/2014,1293
7/28/2015,1451
7/29/2014,1368
7/29/2015,1411
7/3/2014,1026
7/3/2015,439
7/30/2014,1351
7/30/2015,1330
7/31/2014,1260
7/31/2015,1240
7/4/2014,391
7/4/2015,449
7/5/2014,382
7/5/2015,288
7/6/2014,365
7/6/2015,1242
7/7/2014,1210
7/7/2015,1359
7/8/2014,1201
7/8/2015,1405
7/9/2014,1347
7/9/2015,1257
8/1/2014,1162
8/1/2015,425
8/10/2014,436
8/10/2015,1284
8/11/2014,1234
8/11/2015,1397
8/12/2014,1380
8/12/2015,1400
8/13/2014,1247
8/13/2015,1401
8/14/2014,1251
8/14/2015,1182
8/15/2014,1179
8/15/2015,451
8/16/2014,425
8/16/2015,393
8/17/2014,402
8/17/2015,1418
8/18/2014,1277
8/18/2015,1407
8/19/2014,1279
8/19/2015,1353
8/2/2014,387
8/2/2015,320
8/20/2014,1327
8/20/2015,1353
8/21/2014,1352
8/21/2015,1215
8/22/2014,1235
8/22/2015,421
8/23/2014,485
8/23/2015,311
8/24/2014,345
8/24/2015,1309
8/25/2014,1371
8/25/2015,1421
8/26/2014,1513
8/26/2015,1465
8/27/2014,1479
8/27/2015,1443
8/28/2014,1340
8/28/2015,1220
8/29/2013,748
8/29/2014,1252
8/29/2015,342
8/3/2014,365
8/3/2015,1283
8/30/2013,714
8/30/2014,481
8/30/2015,331
8/31/2013,640
8/31/2014,473
8/31/2015,1369
8/4/2014,1169
8/4/2015,1360
8/5/2014,1313
8/5/2015,1341
8/6/2014,1254
8/6/2015,1299
8/7/2014,1256
8/7/2015,1197
8/8/2014,1170
8/8/2015,432
8/9/2014,376
8/9/2015,361
9/1/2013,706
9/1/2014,368
9/10/2013,892
9/10/2014,1351
9/11/2013,880
9/11/2014,1381
9/12/2013,942
9/12/2014,1308
9/13/2013,981
9/13/2014,556
9/14/2013,702
9/14/2014,435
9/15/2013,624
9/15/2014,1516
9/16/2013,914
9/16/2014,1438
9/17/2013,1073
9/17/2014,1429
9/18/2013,1110
9/18/2014,1186
9/19/2013,1044
9/19/2014,1245
9/2/2013,661
9/2/2014,1319
9/20/2013,1102
9/20/2014,427
9/21/2013,388
9/21/2014,313
9/22/2013,584
9/22/2014,1353
9/23/2013,1050
9/23/2014,1362
9/24/2013,1075
9/24/2014,1301
9/25/2013,1264
9/25/2014,1177
9/26/2013,1082
9/26/2014,1242
9/27/2013,1101
9/27/2014,464
9/28/2013,612
9/28/2014,376
9/29/2013,517
9/29/2014,1335
9/3/2013,597
9/3/2014,1404
9/30/2013,976
9/30/2014,1304
9/4/2013,606
9/4/2014,1389
9/5/2013,677
9/5/2014,1265
9/6/2013,814
9/6/2014,435
9/7/2013,796
9/7/2014,336
9/8/2013,704
9/8/2014,1305
9/9/2013,769
9/9/2014,1362
